SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;Certification
130;P20-043;A-PLUS-HC;A-105-HC-FF-V;Linpac Poland;Linpac Poland;;2021-01;2021-01;PE-PP;450;200;
145;P22-069;A-PLUS-HC;A-105-HC-SF-V;LINPAC PACKAGING LTD UK;LINPAC PACKAGING LTD UK;;2023-01;2023-01;PE-PP;450;200;
14;P19-099;A-35-AC;A-35-AC;PT AMG;PT AMG;;2019-01;2019-01;PE-PP;35;68;
28;P19-094;A-35-AC;A-35-AC;Alfaplas;Alfaplas;;2019-01;2019-01;PE-PP;35;68;
62;P19-073;A-35-AC;A-35-AC;BKC;BKC;;2020-01;2020-01;PE-PP;35;68;
67;P20-001;A-35-AC;A-35-AC;COLLY MARTIN;COLLY MARTIN;;2020-01;2020-01;PE-PP;35;68;
76;P20-002;A-35-AC;A-35-AC;Polipack;Polipack;;2020-01;2020-01;PE-PP;35;68;
77;P19-105;A-35-AC;A-35-AC;Baesweiler folien GMBH;Baesweiler folien GMBH;;2020-01;2020-01;PE-PP;35;68;
78;P20-006;A-35-AC;A-35-AC;Plastigaur;Plastigaur;;2020-01;2020-01;PE-PP;35;68;
79;P20-004;A-35-AC;A-35-AC;Plastigaur;Plastigaur;;2020-01;2020-01;PE-PP;35;68;
104;P20-033;A-35-AC;A-35-AC;BKC;BKC;;2020-01;2020-01;PE-PP;35;68;
352;P24-031;A-35-AC;A-35-AC-TB-B&R-3N-400V-50Hz;RAJOO;RAJOO;;2024-01;2024-01;PE-PP;35;68;
146;P21-024;A-35-AC;A-35-AC-TB-CE-400-3N;REIFENHAUSER PRIVATE LTD - MULTIBAX;REIFENHAUSER PRIVATE LTD - MULTIBAX;;2021-01;2021-01;PE-PP;35;68;
147;P21-025;A-35-AC;A-35-AC-TB-CE-400-3N;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;35;68;
148;P21-027;A-35-AC;A-35-AC-TB-CE-400-3N;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;35;68;
13;P19-010;A-XS-AC;A-40-AC-RF;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;
36;P19-028;A-XS-AC;A-45-AC;Bandera / Sakos;Bandera / Sakos;;2019-01;2019-01;PE-PP;45;20;
73;P20-034;A-XS-AC;A-45-AC-RF-TB-MSC;Samco;Samco;;2020-01;2020-01;PE-PP;45;20;
5;P19-006;A-XS-AC;A-45-AC-RF;OP Nilsson;OP Nilsson;;2019-01;2019-01;PE-PP;45;20;
6;P19-029;A-XS-AC;A-45-AC-RF-MSC;Termoplast;Termoplast;;2019-01;2019-01;PE-PP;45;20;
1;P19-012;A-XS-AC;A-45-AC-RF-HF-MSC;Packages Lanka;Packages Lanka;;2019-01;2019-01;PE-PP;45;20;
41;P19-092;A-XS-AC;A-45-AC-RF-TB;Liton;Liton;;2019-01;2019-01;PE-PP;45;20;
18;P19-020;A-XS-AC;A-45-AC-RF-TB-MSC; Kaszmir; Kaszmir;;2019-01;2019-01;PE-PP;45;20;
31;P19-070;A-XS-AC;A-45-AC-Supatrim;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;
